is,VBP,4
are,VBP,4
was,VBD,4
were,VBD,4
did,VBD,4
n't,RB,4
've,VBD,4
's,PRP/VBP,4
'd,VBD/MD,4
'm,VBP,4
're,VBP,4
'll,MD,4
th,RP,4
rd,RP,4
st,RP,4
wo,MD,4
sha,MD,4
a,DT,1
A_M,RB,1
abandon,VB/NN,2
abandoned,JJ,3
abbey,NN,3
abbreviate,VB,3
abbreviation,NN,3
abdomen,NN,3
abide,VB,3
ability,NN,1
able,JJ,1
abnormal,JJ,2
aboard,IN/RB,2
abolish,VB,3
aboriginal,JJ/NN,3
aborigine,NN,3
abortion,NN,3
abound,VB,3
about,IN/RB,1
above,IN/RB/JJ,1
abroad,RB,1
abrupt,JJ,3
absence,NN,2
absent,JJ,1
absent-minded,JJ,3
absolute,JJ/NN,2
absolutely,RB,2
absorb,VB,2
abstract,JJ/NN,2
abstraction,NN,3
absurd,JJ/NN,3
abundance,NN,3
abundant,JJ,3
abuse,NN/VB,2
academic,JJ,2
academy,NN,2
accelerate,VB,3
acceleration,NN,3
accent,NN,2
accept,VB,1
acceptable,JJ,2
acceptance,NN,2
accepted,JJ,2
access,NN/VB,2
accessible,JJ,3
accessory,NN/JJ,3
accident,NN,1
accidental,JJ,2
acclaim,VB/NN,3
accommodate,VB,2
accommodation,NN,2
accompany,VB,2
accomplish,VB,2
accomplished,JJ,3
accord,VB/NN,2
accordance,NN,3
accordingly,RB,3
account,NN/VB,2
accountable,JJ,3
accountant,NN,2
accounting,NN,3
accumulate,VB,3
accumulation,NN,3
accuracy,NN,2
accurate,JJ,2
accusation,NN,3
accuse,VB,2
accustom,VB,3
accustomed,JJ,2
ace,NN/JJ/VB,3
ache,NN/VB,2
achieve,VB,1
achievement,NN,2
acid,NN/JJ,2
acknowledge,VB,3
acne,NN,3
acoustic,JJ/NN,3
acquaint,VB,2
acquaintance,NN,2
acquire,VB,2
acquisition,NN,3
acre,NN,2
across,IN/RB,1
act,NN/VB,1
acting,NN/JJ,3
action,NN,1
activate,VB,3
active,JJ,1
activist,NN,3
activity,NN,1
actor,NN,1
actress,NN,1
actual,JJ,2
actually,RB,1
acute,JJ/NN,3
ad,NN,3
adapt,VB,2
adaptation,NN,3
add,VB,1
addict,NN,3
addicted,JJ,3
addiction,NN,3
addition,NN,1
additional,JJ,2
additive,NN/JJ,3
address,NN,1
adequate,JJ,2
adhere,VB,3
adjacent,JJ,3
adjective,NN,2
adjoin,VB,3
adjust,VB,2
adjustment,NN,3
administer,VB,3
administration,NN,2
administrative,JJ,3
administrator,NN,3
admirable,JJ,2
admiral,NN,3
admiration,NN,2
admire,VB,1
admission,NN,2
admit,VB,1
adolescence,NN,3
adolescent,JJ/NN,3
adopt,VB,1
adore,VB,3
adult,NN,1
adulthood,NN,3
advance,NN/VB,1
advanced,JJ,2
advancement,NN,3
advantage,NN,1
advent,NN,3
adventure,NN,2
adVB,NN,3
adverse,JJ,3
advert,NN,3
advertise,VB,2
advertisement,NN,1
advertiser,NN,3
advertising,NN,3
advice,NN,1
advisable,JJ,3
advise,VB,1
adviser,NN,2
advisory,JJ/NN,3
advocate,VB/NN,3
aerial,JJ/NN,3
aerospace,NN,3
aesthetic,JJ,3
aesthetics,NN,3
affair,NN,1
affect,VB,1
affection,NN,2
affectionate,JJ,3
affiliate,NN/VB,3
affirm,VB,3
afflict,VB,3
afford,VB,2
afraid,JJ,1
after,IN/INN,1
aftermath,NN,3
afternoon,NN,1
afterwards,RB,2
again,RB,1
against,IN,1
age,NN/VB,1
aged,JJ,2
agency,NN,2
agenda,NN,3
agent,NN,2
aggravate,VB,3
aggregate,JJ/NN/VB,3
aggression,NN,3
aggressive,JJ,2
aging,JJ/NN,3
agitate,VB,3
agitation,NN,3
ago,RB,1
agony,NN,3
agree,VB,1
agreeable,JJ,2
agreement,NN,2
agricultural,JJ,3
agriculture,NN,2
ahead,RB,1
AI,NN,3
aid,NN/VB,1
aide,NN,3
AIDS,NN,1
aim,VB/NN,1
air,NN,1
air-conditioned,JJ,2
air-conditioner,NN,3
aircraft,NN,1
airlift,NN/VB,3
airline,NN,1
airmail,NN,2
airplane,NN,1
airport,NN,1
airtight,JJ,3
airway,NN,3
aisle,NN,3
alarm,NN,1
alarming,JJ,3
album,NN,1
alcohol,NN,2
alcoholic,NN/JJ,2
alert,VB/JJ/NN,2
algebra,NN,3
alien,JJ/NN,3
alienate,VB,3
alike,RB/JJ,1
alive,JJ,1
all,JJ/PRP/RB,1
allegation,NN,3
allege,VB,3
alleged,JJ,3
allergic,JJ,3
allergy,NN,3
alleviate,VB,3
alley,NN,2
alliance,NN,3
allied,JJ,3
alligator,NN,3
allocate,VB,3
allow,VB,1
allowance,NN,2
alloy,NN,3
ally,NN/VB,3
almond,NN,3
almost,RB,1
alone,RB/JJ,1
along,IN/RB,1
alongside,IN/RB,2
aloud,RB,1
alphabet,NN,1
already,RB,1
also,RB,1
alter,VB,3
alternate,VB/JJ,3
alternative,NN/JJ,2
alternatively,RB,3
although,INN,1
altitude,NN,2
altogether,RB,1
aluminium,NN/JJ,2
always,RB,1
am,VB,1
amateur,JJ/NN,2
amaze,VB,2
amazing,JJ,2
ambassador,NN,2
ambiguity,NN,3
ambiguous,JJ,3
ambition,NN,2
ambitious,JJ,2
ambulance,NN,1
ambush,VB/NN,3
amend,VB,3
amendment,NN,3
amends,NN,3
America,NN,1
American,JJ/NN,1
amiable,JJ,3
amicable,JJ,3
amid,IN,2
ammunition,NN,3
amnesty,NN,3
among,IN,1
amount,NN,1
ample,JJ,3
amplify,VB,3
amuse,VB,2
amused,JJ,2
amusement,NN,2
amusing,JJ,2
amzed,JJ,2
analogy,NN,3
analysis,NN,2
analyst,NN,2
analytical,JJ,3
analyze,VB,2
ancestor,NN,2
anchor,NN/VB,3
ancient,JJ,1
and,CC,1
anecdote,NN,3
angel,NN,1
anger,NN,1
angle,NN,2
angler,NN,3
angry,JJ,1
animal,NN,1
animate,JJ/VB,3
animated,JJ,3
ankle,NN,1
anniversary,NN,2
anNNce,VB,2
anNNcement,NN,2
anNNcer,NN,2
annoy,VB,2
annoyance,NN,3
annoyed,JJ,2
annoying,JJ,2
annual,JJ/NN,2
anonymous,JJ,3
another,PRP/JJ,1
answer,NN/VB,1
ant,NN,1
Antarctic,JJ/NN,3
antenna,NN,3
anthem,NN,3
antibiotic,NN/JJ,3
antibody,NN,3
anticipate,VB,3
anticipation,NN,3
antique,NN/JJ,3
antonym,NN,3
anxiety,NN,2
anxious,JJ,2
any,PRP/RB/JJ,1
anybody,PRP,1
anyhow,RB,2
anymore,RB,3
anyone,PRP,1
anything,PRP,1
anytime,RB,2
anyway,RB,1
anywhere,RB,1
apart,RB/JJ,2
apartheid,NN,3
apartment,NN,1
ape,NN/VB,2
apologize,VB,1
apology,NN,2
appall,VB,3
appalling,JJ,3
apparatus,NN,3
apparent,JJ,2
apparently,RB,2
appeal,NN/VB,2
appear,VB,1
appearance,NN,1
appendix,NN,3
appetite,NN,2
applaud,VB,2
applause,NN,2
apple,NN,1
appliance,NN,2
applicable,JJ,3
applicant,NN,2
application,NN,2
apply,VB,1
appoint,VB,2
appointment,NN,2
appraisal,NN,3
appreciable,JJ,3
appreciate,VB,1
appreciation,NN,2
apprehension,NN,3
apprentice,NN/VB,3
approach,NN/VB,2
appropriate,JJ,2
approval,NN,2
approve,VB,2
approximate,JJ/VB,3
April,NN,1
apron,NN,2
apt,JJ,3
aptitude,NN,3
aquarium,NN,2
arbitrary,JJ,3
arc,NN/VB,3
arch,NN/VB,2
archaeology,NN,3
architect,NN,2
architectural,JJ,3
architecture,NN,2
archive,NN/JJ,3
Arctic,JJ/NN,3
are,VB,1
area,NN,1
arena,NN,3
argue,VB,1
argument,NN,2
arise,VB,2
arithmetic,NN/JJ,2
arm,NN,1
armchair,NN,1
armed,JJ,2
armor,NN/VB,3
armored,JJ,3
arms,NN,3
army,NN,1
around,IN/RB,1
arouse,VB,2
arrange,VB,1
arrangement,NN,2
array,NN/VB,3
arrest,VB/NN,1
arrival,NN,2
arrive,VB,1
arrogant,JJ,3
arrow,NN,2
art,NN,1
artery,NN,3
article,NN,1
articulate,JJ/VB,3
artifact,NN,3
artificial,JJ,2
artillery,NN,3
artist,NN,1
artistic,JJ,2
as,INN/IN/RB,1
ascend,VB,2
ascending,JJ,2
ascertain,VB,3
ascribe,VB,3
ash,NN,2
ashamed,JJ,2
Asia,NN,1
Asian,JJ/NN,1
aside,RB,2
ask,VB,1
asleep,JJ,1
aspect,NN,2
aspiration,NN,3
aspirin,NN,2
ass,NN,3
assassinate,VB,2
